Country,iso3,State,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Status,Comment,Source,,
United States of America,USA,Alaska,Alaska,3/18/20,Social distancing,Mass gathering cancellation,Indoor activities,Fitness centers and gyms,,"all entertainment facilities shall be closed to the public, including theaters, gyms and fitness centers, bowling alleys and bingo halls",https://gov.alaska.gov/newsroom/2020/03/17/governor-issues-covid-19-health-mandates-003-and-004/,,
United States of America,USA,Alaska,Alaska,3/19/20,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Total,,"closes all bars, breweries, restaurants, food and beverage kiosks or trucks, and other establishments serving food or beverages within in the State of Alaska to public dine-in service. All buffets and salad bars are likewise closed to self-service.",https://gov.alaska.gov/newsroom/2020/03/17/governor-issues-covid-19-health-mandates-003-and-004/,,
United States of America,USA,Alaska,Alaska,3/19/20,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,,,Applies also to elective dentistry practices,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Health-Mandate-005.pdf,,
United States of America,USA,Alaska,Alaska,3/19/20,Healthcare and public health capacity,Increase patient capacity,Postponement of non-essential care and non-urgent operations in hospitals,Dentistry practices,,Applies also to elective dentistry practices,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Health-Mandate-005.pdf,,
United States of America,USA,Alaska,Alaska,3/20/20,Social distancing,Closure of educational institutions,Complete closure of kindergartens,,,Closure of private and public schools,https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-008.pdf,,
United States of America,USA,Alaska,Alaska,3/20/20,Social distancing,Closure of educational institutions,Complete closure of primary and secondary schools,,,Closure of private and public schools,https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-008.pdf,,
United States of America,USA,Alaska,Alaska,3/21/20,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Facilitate loans for entrepreneurs and businesses,,Alaska COVID-19 Economic Stabilization Plan - Alaskan businesses can now apply for the U.S. Small Business Administration’s (SBA) low-interest federal disaster loans for working capital to small businesses suffering substantial economic injury as a result of the Coronavirus,https://www.alaskajournal.com/sites/alaskajournal.com/files/alaska_economic_stabilization_plan_-_final_-_3.20.2020.pdf,,
United States of America,USA,Alaska,Fairbanks North Star Borough and Ketchikan Gateway Borough,3/21/20,Social distancing,Small gathering cancellation,Closure of non-essential shops,Partial,,"All businesses, congregations, or gatherings in the Fairbanks Northstar Borough and the Ketchikan Gateway Borough where individuals are within six feet of each other must stop all operations",https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,,
United States of America,USA,Alaska,Fairbanks North Star Borough and Ketchikan Gateway Borough,3/21/20,Social distancing,Small gathering cancellation,Limit up to 10 persons,,,If a gathering takes place people must be 6 feet apart from each other,https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,,
United States of America,USA,Alaska,Alaska,3/24/20,Social distancing,Small gathering cancellation,Closure of non-essential shops,Partial,,"All businesses, congregations, or gatherings in the Fairbanks Northstar Borough and the Ketchikan Gateway Borough where individuals ar within siw feet of each other must stop all operations",https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,,
United States of America,USA,Alaska,Alaska,3/25/20,"Case identification, contact tracing and related measures",Quarantine,Incoming travelers,All,,"All people arriving in Alaska, whether resident, worker or visitor, are required to self-quarantine for 14 days and monitor for illness",https://gov.alaska.gov/home/covid19-healthmandates/,,
United States of America,USA,Alaska,Alaska,3/25/20,Social distancing,Small gathering cancellation,Limit up to 10 persons,,,If a gathering takes place people must be 6 feet apart from each other,https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,,
United States of America,USA,Alaska,Alaska,3/26/20,Resource allocation,Crisis management plans,"State aid, taxation and social security",Government support the obtention of unemployment benefits,,"House Bill 308: aggressively expands unemployment insurance benefits by waiving one-week waiting period, increasing the weekly benefit for dependents from $24 to $75 per week, and protecting workers affected by Covid-19, and the associated heaelth mandates. The legislation aligns with the emergency directives adopted by Governor Mike Dunleavy, and President Donald Trump.",https://gov.alaska.gov/newsroom/2020/03/26/governor-signs-legislation-expanding-unemployment-benefits-and-increasing-internet-speeds-for-alaskas-schools/,,
United States of America,USA,Alaska,Alaska,3/26/20,Social distancing,Mass gathering cancellation,Implement e-learning,Increase internet speed for students,,Senate Bill 74 provides a strong positive impact on the educational experience for teachers and students in rural school districts that experience extremely high costs for internet. This legislation increases the minimum internet speed for all of Alaska’s schools from 10 megabits per second (Mbps) to 25 Mbps and will benefit 168 schools and 30 school districts.,https://gov.alaska.gov/newsroom/2020/03/26/governor-signs-legislation-expanding-unemployment-benefits-and-increasing-internet-speeds-for-alaskas-schools/,,
United States of America,USA,Alaska,Alaska,3/28/20,Social distancing,Small gathering cancellation,Mandatory home office,,,The Governor orders individuals to abide by the following: Work from home as much as possible,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,"Case identification, contact tracing and related measures",Isolation of cases,,,,"Immediately isolate any family member who is ill; Any individual who exhibits symptoms of illness must not leave their home, including to work, except as necessary to seek or receive medical care.",https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Social distancing,Measures for special populations,People having outdoor activities,Respect 2m distance,,Outdoor activities is permitted when a distance of six or more feet can be maintained between individuals not in the same household,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Social distancing,Small gathering cancellation,Complete prohibition of gathering,Bans on gathering of non-household members,,"All individuals shall cease participation in public or private gatherings that include non-household members, regarless of the number of people involved. This includes, but is not limited to, weddings, faith gatherings, graduations and funeral events",https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Risk communication,Educate and actively communicate with the public,Direct advice to vulnerable populations,Homeless people urged to seek shelter,,Individuals experiencing homelessness are exempt from this mandate but are urged to obtain shelter.,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Risk communication,Actively communicate with managers,Recommendations for work safety protocols,For essential services and critical infrastructures,,"Businesses providing essential services and critical infrastructure must take precautions to ensure the health of their service sector and employees, promote social distancing between employees and public, and implement working from home as much as possible",https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Resource allocation,Police and army interventions,To support law enforcement/sanction in case of no compliance,To enforce social distancing,,"A violation of a state COVID-19 Mandate may subject a business or organization to an order to cease operations and or a civil fine up to 1000 dollars per violation. In addition to the potential civil fines noted above, a person or organization that fails to follow the state covid-19 madate designed to protect the public health from this dangerous virus and its impact may, under certain circumstances, also be criminally prosecuted for Reckless Endangerment persuant to Alaska Stature 11.41.250 - Class A misdemeanor potentially leading to imprisonment of no more than one year and 25000 of fine.",https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Social distancing,Mass gathering cancellation,Closure of non-essential working places,All,,"Alaska Governor Mike Dunleavy, with the Alaska Department of Health and Social Services (DHSS) today issued the State of Alaska’s 11th and 12th COVID-19 Health Mandate to protect the public health of Alaskans and disrupt the spread of the virus. Mandate 011 states “all persons in Alaska, except for those engaged in essential health care services, public government services, and essential business activities, are mandated to remain at their place of residence and practice social distancing,” effective March 28, 2020 at 5:00pm. The mandate will be reevaluated by April 11, 2020. Mandate 011 orders individuals to practice social distancing, orders closure of non-essential businesses, and orders employers to take reasonable precautions.",https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Travel restriction,Individual movement restrictions,Non-essential travels abroad/out-of-state forbidden,Interstate travels forbidden,,"Mandate 012 states “all in-state travel between communities, whether resident, worker, or visitor, is prohibited unless travel is to support critical infrastructure, or for critical personal needs,” effective March 28, 2020 at 8:00am. The mandate will be reevaluated by April 11, 2020.",https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-012.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Travel restriction,Individual movement restrictions,Movements for non-essential activities forbidden,All people not engaged in essential activities,,Mandate 012 prohibits personal travel except as necessary to meet critical personal needs or work in critical infrastructure jobs.,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-012.pdf,,
United States of America,USA,Alaska,Alaska,3/28/20,Social distancing,Small gathering cancellation,Restriction on private and familial events,Prohibition of funerals and weddings,,"All individuals shall cease participation in public or private gatherings that include non-household members, regarless of the number of people involved. This includes, but is not limited to, weddings, faith gatherings, graduations and funeral events",https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/ --- https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,,
United States of America,USA,Alaska,Alaska,3/31/20,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Facilitate loans for entrepreneurs and businesses,,"Alaska Governor Mike Dunleavy today announced new steps taken to advance the Alaska COVID-19 Economic Stabilization Plan. Alongside a disaster order suspending certain fees and fines across state government, Governor Dunleavy highlighted major progress toward the creation of a state-backed loan program run by the Alaska Industrial Development and Export Authority (AIDEA). The COVID-19 Disaster Order of Suspension No. 2 suspends certain fees and fines within the Department of Health and Social Services, Department of Administration, Department of Commerce, Department of Labor, and the Department of Revenue through May 11, 2020. --- On Friday, the AIDEA Board unanimously approved the Sustaining Alaska’s Future Economy Guaranty Program (AK SAFE). Alaskan businesses with existing lines of credit through any lending institution in Alaska will be able to apply for a loan increase of up to $1 million dollars. These loans will be backed by the state through AIDEA.",https://gov.alaska.gov/newsroom/2020/03/31/governor-announces-progress-on-alaska-covid-19-economic-stabilization-plan/,,
United States of America,USA,Alaska,Alaska,4/2/20,Risk communication,Educate and actively communicate with the public,Answer to questions,Corona dashboard,,"Alaska Governor Mike Dunleavy, with the Alaska Department of Health and Social Services (DHSS) today unveiled the new Alaska COVID-19 Dashboard in an effort to keep the public informed with the latest data available on the coronavirus disease 2019. The Alaska COVID-19 Dashboard is designed to provide the public Alaska-centric data, including geographical data using information provided by local hospitals, commercial labs, and state labs. Additionally, the Dashboard connects Alaskans with federal and community partner websites. The Dashboard will continue to be updated with new information and categories.",https://gov.alaska.gov/newsroom/2020/04/02/state-of-alaska-unveils-covid-19-dashboard/,,
United States of America,USA,Alaska,Alaska,4/6/20,Healthcare and public health capacity,Increase availability of PPE,PPE other than face masks,For rural communities,,"Governor Mike Dunleavy today greeted a Samaritan’s Purse DC-8 aircraft carrying medical supplies from North Carolina to Ted Stevens Anchorage International Airport today. Governor Dunleavy made the request to Samaritan’s Purse President Franklin Graham for these needed supplies to be delivered to rural Alaska to supplement supplies the State already has in place. Samaritan’s Purse has donated approximately 17,720 pounds of medical supplies to help Alaska battle COVID-19. These medical beds, masks, gowns, and other medical supplies will be headed to 8 rural Alaska communities in the coming days. Samaritan’s Purse operates Operation Heal Our Patriots Lodge in Southwestern, Alaska, assists with disaster relief efforts in both urban and rural Alaska, and sponsors annual church building projects across remote Alaska.",https://gov.alaska.gov/newsroom/2020/04/06/governor-dunleavy-thanks-samaritans-purse-for-medical-supplies/,,
United States of America,USA,Alaska,Alaska,4/6/20,Healthcare and public health capacity,Increase availability of PPE,Face masks,For rural communities,,"Governor Mike Dunleavy today greeted a Samaritan’s Purse DC-8 aircraft carrying medical supplies from North Carolina to Ted Stevens Anchorage International Airport today. Governor Dunleavy made the request to Samaritan’s Purse President Franklin Graham for these needed supplies to be delivered to rural Alaska to supplement supplies the State already has in place. Samaritan’s Purse has donated approximately 17,720 pounds of medical supplies to help Alaska battle COVID-19. These medical beds, masks, gowns, and other medical supplies will be headed to 8 rural Alaska communities in the coming days. Samaritan’s Purse operates Operation Heal Our Patriots Lodge in Southwestern, Alaska, assists with disaster relief efforts in both urban and rural Alaska, and sponsors annual church building projects across remote Alaska.",https://gov.alaska.gov/newsroom/2020/04/06/governor-dunleavy-thanks-samaritans-purse-for-medical-supplies/,,
United States of America,USA,Alaska,Alaska,4/6/20,Healthcare and public health capacity,Increase in medical supplies and equipment,Diverse medical materials and equipment,For rural communities,,"Governor Mike Dunleavy today greeted a Samaritan’s Purse DC-8 aircraft carrying medical supplies from North Carolina to Ted Stevens Anchorage International Airport today. Governor Dunleavy made the request to Samaritan’s Purse President Franklin Graham for these needed supplies to be delivered to rural Alaska to supplement supplies the State already has in place. Samaritan’s Purse has donated approximately 17,720 pounds of medical supplies to help Alaska battle COVID-19. These medical beds, masks, gowns, and other medical supplies will be headed to 8 rural Alaska communities in the coming days. Samaritan’s Purse operates Operation Heal Our Patriots Lodge in Southwestern, Alaska, assists with disaster relief efforts in both urban and rural Alaska, and sponsors annual church building projects across remote Alaska.",https://gov.alaska.gov/newsroom/2020/04/06/governor-dunleavy-thanks-samaritans-purse-for-medical-supplies/,,
United States of America,USA,Alaska,Alaska,4/9/20,Resource allocation,Crisis management plans,Repurpose government plans,Emergency funds,,"Today, Alaska Governor Mike Dunleavy welcomes action taken by President Donald J. Trump to approve Alaska’s Disaster Declaration, providing Federal funding to State, tribal, and local recovery efforts for all areas affected by the coronavirus disease 2019 (COVID-19) pandemic. Major Disaster Fund",https://gov.alaska.gov/newsroom/2020/04/09/dunleavy-welcomes-trumps-alaska-disaster-declaration-approval/,,
United States of America,USA,Alaska,Alaska,4/9/20,Social distancing,Closure of educational institutions,Complete closure of all educational institutions,,Extended,"Alaska Governor Mike Dunleavy, with the Alaska Department of Health and Social Services (DHSS) today issued the State of Alaska’s COVID-19 Health Mandate 013, alongside updates to Health Mandates 006, 011, and 012. COVID-19 Health Mandate 013 on K-12 Public and Private Schools supersedes Health Mandate 008, and extends the statewide public and private school closure from May 1, 2020 to the end of the 2019-2020 school year. The mandate states, “student learning will continue, per each school district’s individual plan, to provide distance-delivered educational services to students,” and explains that the State of Alaska Incident Command will reconvene in April “to consider whether the state’s health outlook will safely allow for small groups of students to meet with their teachers in-person for final student conferences before the end of the school year.”",https://gov.alaska.gov/newsroom/2020/04/09/governor-issues-update-to-covid-19-health-mandates/,,
United States of America,USA,Alaska,Alaska,4/13/20,Healthcare and public health capacity,Increase isolation and quarantine facilities,Quarantine centers,Short-term accommodations repurposed into quarantine facilities,,"Alaska Governor Mike Dunleavy, with the Alaska Department of Health and Social Services (DHSS) today issued the State of Alaska’s COVID-19 Health Mandate 014 on Non-Congregate Sheltering. The State of Alaska is developing solutions to protect the most vulnerable populations from the effects of COVID-19. These population groups include first responders and healthcare workers who need to quarantine safely without exposing their families, homeless families in congregate shelters, with at least one member who tested positive for COVID and will require isolation, and homeless individuals who require quarantine or isolation. The most viable solution to protect these groups is Non-Congregate Sheltering (NCS). In accordance with the Stafford Act, eligible emergency protective measures taken to respond to the COVID-19 emergency at the direction of state public health officials may be reimbursed, including costs for NCS for both state and local jurisdictions to protect vulnerable populations. If the need for NCS arises, the signing of COVID-19 Health Mandate 014 will allow the State of Alaska to accept FEMA assistance. FEMA assistance will be provided at the 75 percent Federal cost share.
",https://gov.alaska.gov/newsroom/2020/04/13/governor-signs-covid-19-health-mandate-014-allowing-federal-reimbursement/,,
United States of America,USA,Alaska,Alaska,4/14/20,Social distancing,Special measures for certain establishments,Alcohol sellers,Alcoholic beverages can be delivered,,"Alaska Governor Mike Dunleavy today announced the suspension of certain regulations and statutes to provide relief to individuals and businesses impacted by COVID-19. The COVID-19 Disaster Order of Suspension No. 2 Appendix A – Amendment 3 suspends certain regulations and statutes within the Alaska Department of Commerce, Community, and Economic Development to allow for the curbside pickup of alcohol from restaurants, breweries, distilleries, and retail stores, as well as the delivery of sealed beer and wine from restaurants with food orders. Appendix A – Amendment 3 further suspends certain regulations and statutes within the Department of Administration and the Department of Education and Early Development.",https://gov.alaska.gov/newsroom/2020/04/14/dunleavy-announces-suspension-of-state-statutes-regulations/,,
United States of America,USA,Alaska,Alaska,4/20/20,Returning to normal life,Access to non-essential/critical healthcare services,Re-opening of medical and paramedical centers,Resume services that require minimal protective equipment and safety protocols for pre-screening,,"Beginning April 20, 2020, health care facilities and providers defined in statute may resume services that require minimal protective equipment and safety protocols for pre-screening. This includes services such as physicals, routine exams, and minimal procedures.",https://gov.alaska.gov/newsroom/2020/04/15/governor-issues-covid-19-health-mandate-015/,,
United States of America,USA,Alaska,Alaska,4/21/20,Resource allocation,Crisis management plans,Repurpose government plans,Emergency funds,,"Governor Dunleavy announced the receipt of the $1.25 billion funding from the Federal Coronavirus Aid, Relief, and Economic Security (CARES) Act, and his plan for the distribution of funds. The Governor is submitting his plan and associated documents to the Alaska State Legislative Budget and Audit Committee.",https://gov.alaska.gov/newsroom/2020/04/21/governor-unveils-path-to-reopening-alaskan-economy/,,
United States of America,USA,Alaska,Alaska,4/23/20,Returning to normal life,Lift travel restriction,Lift maritime restriction,Resume commercial fishing activity,,"Alaska Governor Mike Dunleavy, with the Alaska Department of Health and Social Services today issued the State of Alaska’s 17th COVID-19 Health Mandate on Protective Measures for Independent Commercial Fishing Vessels, along with further guidance on COVID-19 Health Mandate 016. COVID-19 Health Mandate 017 establishes standardized protective measures to be followed by all independent commercial fishing vessels operating within Alaskan waters and ports to ensure a safe, productive fishing season while protecting communities from the spread of the coronavirus disease 2019 (COVID-19).",https://gov.alaska.gov/newsroom/2020/04/23/governor-issues-covid-19-health-mandate-17/,,
United States of America,USA,Alaska,Alaska,4/24/20,Returning to normal life,Lift restriction on small gatherings,Re-opening of certain shops,"Barbers, nail salons, hairdressers",,"Alaska Governor Mike Dunleavy today unveiled Phase One of the State’s approach to reopening segments of the Alaskan economy. Beginning Friday, April 24, 2020, the following businesses and industries may reopen, following rigorous health and safety standards: Restaurants - limited dine-in services, retail stores - limited in-store shopping, personal services businesses (barbers, nail salons, hairdressers) - limited services, non-essential businesses -limited services. Refered later as COVID-19 Health Mandate 016. In addition, guidance on resuming these activities: Childcare and day camps, fishing charters, gyms and fitness centers, lodging and overnight camping, intrastate travel and outdoor day activity.",https://gov.alaska.gov/newsroom/2020/04/21/governor-unveils-path-to-reopening-alaskan-economy/ --- https://gov.alaska.gov/newsroom/2020/04/22/governor-issues-covid-19-health-mandate-16/ ---https://gov.alaska.gov/newsroom/2020/04/23/governor-issues-covid-19-health-mandate-17/,,
United States of America,USA,Alaska,Alaska,4/24/20,Returning to normal life,Actively communicate with managers,Guidelines for re-opening short-term accommodations,Lodging and overnight camping,,"Alaska Governor Mike Dunleavy today unveiled Phase One of the State’s approach to reopening segments of the Alaskan economy. Beginning Friday, April 24, 2020, the following businesses and industries may reopen, following rigorous health and safety standards: Restaurants - limited dine-in services, retail stores - limited in-store shopping, personal services businesses (barbers, nail salons, hairdressers) - limited services, non-essential businesses -limited services. Refered later as COVID-19 Health Mandate 016. In addition, guidance on resuming these activities: Childcare and day camps, fishing charters, gyms and fitness centers, lodging and overnight camping, intrastate travel and outdoor day activity.",https://gov.alaska.gov/newsroom/2020/04/21/governor-unveils-path-to-reopening-alaskan-economy/ --- https://gov.alaska.gov/newsroom/2020/04/22/governor-issues-covid-19-health-mandate-16/ ---https://gov.alaska.gov/newsroom/2020/04/23/governor-issues-covid-19-health-mandate-17/,,
United States of America,USA,Alaska,Alaska,4/24/20,Returning to normal life,Actively communicate with managers,Guidelines for re-opening gyms and fitness centers,,,"Alaska Governor Mike Dunleavy today unveiled Phase One of the State’s approach to reopening segments of the Alaskan economy. Beginning Friday, April 24, 2020, the following businesses and industries may reopen, following rigorous health and safety standards: Restaurants - limited dine-in services, retail stores - limited in-store shopping, personal services businesses (barbers, nail salons, hairdressers) - limited services, non-essential businesses -limited services. Refered later as COVID-19 Health Mandate 016. In addition, guidance on resuming these activities: Childcare and day camps, fishing charters, gyms and fitness centers, lodging and overnight camping, intrastate travel and outdoor day activity.",https://gov.alaska.gov/newsroom/2020/04/21/governor-unveils-path-to-reopening-alaskan-economy/ --- https://gov.alaska.gov/newsroom/2020/04/22/governor-issues-covid-19-health-mandate-16/ ---https://gov.alaska.gov/newsroom/2020/04/23/governor-issues-covid-19-health-mandate-17/,,
United States of America,USA,Alaska,Alaska,4/24/20,Returning to normal life,Actively communicate with managers,Guidelines for re-opening of educational institutions and leisure facilities,Childcare and day camps,,"Alaska Governor Mike Dunleavy today unveiled Phase One of the State’s approach to reopening segments of the Alaskan economy. Beginning Friday, April 24, 2020, the following businesses and industries may reopen, following rigorous health and safety standards: Restaurants - limited dine-in services, retail stores - limited in-store shopping, personal services businesses (barbers, nail salons, hairdressers) - limited services, non-essential businesses -limited services. Refered later as COVID-19 Health Mandate 016. In addition, guidance on resuming these activities: Childcare and day camps, fishing charters, gyms and fitness centers, lodging and overnight camping, intrastate travel and outdoor day activity.",https://gov.alaska.gov/newsroom/2020/04/21/governor-unveils-path-to-reopening-alaskan-economy/ --- https://gov.alaska.gov/newsroom/2020/04/22/governor-issues-covid-19-health-mandate-16/ ---https://gov.alaska.gov/newsroom/2020/04/23/governor-issues-covid-19-health-mandate-17/,,
United States of America,USA,Alaska,Alaska,5/4/20,Returning to normal life,Access to non-essential/critical healthcare services,Re-opening of medical and paramedical centers,Resume non-urgent or elective procedure,,"Beginning May 4, 2020, with consideration of COVID-19 cases across the state, health care providers may perform non-urgent, or elective procedures, with defined safety protocols for patients and staff. This includes services such as biopsies and angiograms.",https://gov.alaska.gov/newsroom/2020/04/15/governor-issues-covid-19-health-mandate-015/,,
United States of America,USA,Alaska,Alaska,5/8/20,Returning to normal life,Lift restriction on small gatherings,Re-opening of restaurants/bars/cafes,50% capacity,,"Alaska Governor Mike Dunleavy today announced plans for Phase Two of the State’s approach to reopening segments of the Alaskan economy in an effort to balance the ongoing need to slow the rate of the COVID-19 infection with the critical need to resume economic activity in a reasonable and safe manner. Beginning Friday, May 8, 2020, Phase Two of the Reopen Alaska Responsibly Plan will take effect, allowing most non-essential businesses to reopen with safeguards. This will allow for the following: 50% capacity for retail, restaurants, and other non-essential businesses outlined in Phase One. Walk-ins permitted. 50% capacity, or up to 20 patrons, for personal care services. Reservations only. 50 person capacity for social and religious gatherings. 25% capacity for fitness centers. Walk-ins permitted. 50% capacity for swimming pools. Walk-ins permitted. 25% capacity for bars, libraries, and museums. Walk-ins permitted.",https://gov.alaska.gov/newsroom/2020/05/06/governor-dunleavy-announces-phase-two-of-reopen-alaska-responsibly-plan/,,
United States of America,USA,Alaska,Alaska,5/8/20,Returning to normal life,Lift restriction on mass gatherings,Re-opening of indoor sport facilities,Re-opening of swimming pools,,"Alaska Governor Mike Dunleavy today announced plans for Phase Two of the State’s approach to reopening segments of the Alaskan economy in an effort to balance the ongoing need to slow the rate of the COVID-19 infection with the critical need to resume economic activity in a reasonable and safe manner. Beginning Friday, May 8, 2020, Phase Two of the Reopen Alaska Responsibly Plan will take effect, allowing most non-essential businesses to reopen with safeguards. This will allow for the following: 50% capacity for retail, restaurants, and other non-essential businesses outlined in Phase One. Walk-ins permitted. 50% capacity, or up to 20 patrons, for personal care services. Reservations only. 50 person capacity for social and religious gatherings. 25% capacity for fitness centers. Walk-ins permitted. 50% capacity for swimming pools. Walk-ins permitted. 25% capacity for bars, libraries, and museums. Walk-ins permitted.",https://gov.alaska.gov/newsroom/2020/05/06/governor-dunleavy-announces-phase-two-of-reopen-alaska-responsibly-plan/,,
United States of America,USA,Alaska,Alaska,5/8/20,Returning to normal life,Lift restriction on small gatherings,Re-opening of certain shops,50% capacity,,"Alaska Governor Mike Dunleavy today announced plans for Phase Two of the State’s approach to reopening segments of the Alaskan economy in an effort to balance the ongoing need to slow the rate of the COVID-19 infection with the critical need to resume economic activity in a reasonable and safe manner. Beginning Friday, May 8, 2020, Phase Two of the Reopen Alaska Responsibly Plan will take effect, allowing most non-essential businesses to reopen with safeguards. This will allow for the following: 50% capacity for retail, restaurants, and other non-essential businesses outlined in Phase One. Walk-ins permitted. 50% capacity, or up to 20 patrons, for personal care services. Reservations only. 50 person capacity for social and religious gatherings. 25% capacity for fitness centers. Walk-ins permitted. 50% capacity for swimming pools. Walk-ins permitted. 25% capacity for bars, libraries, and museums. Walk-ins permitted.",https://gov.alaska.gov/newsroom/2020/05/06/governor-dunleavy-announces-phase-two-of-reopen-alaska-responsibly-plan/,,
United States of America,USA,Arizona,Arizona,2/27/20,Resource allocation,Activate or establish emergency response,Risk management plan,Set up crisis unit (national),,"the state activated the Health Emergency Operations Center to track suspected and confirmed cases of COVID-19 at the local, national and global level",https://azgovernor.gov/governor/news/2020/03/governor-ducey-expands-access-unemployment-insurance-and-extends-income-tax,,
United States of America,USA,Arizona,Arizona,3/2/20,Healthcare and public health capacity,Enhance laboratory testing capacity,Increase laboratory facilities,Certification of laboratory,,Arizona becomes one of the first states in the nation to be certified by CDC to test for COVID-19.,https://azgovernor.gov/governor/news/2020/03/governor-ducey-expands-access-unemployment-insurance-and-extends-income-tax,,
United States of America,USA,Arizona,Arizona,3/4/20,Resource allocation,Crisis management plans,Repurpose government plans,Emergency funds,,"Arizona received $500,000 in federal funding to support COVID-19 Response",https://azgovernor.gov/governor/news/2020/03/governor-ducey-expands-access-unemployment-insurance-and-extends-income-tax,,
United States of America,USA,Arizona,Arizona,3/11/20,Resource allocation,Crisis management plans,Financial aid for health system,From CDC,,"Arizona received over $12.4 million from the CDC to support the public health response to the COVID-19 outbreak. Key funding priorities will include surveillance and investigation activities, laboratory testing, infection control supply procurement and distribution, and risk communication",https://azgovernor.gov/governor/news/2020/03/governor-ducey-expands-access-unemployment-insurance-and-extends-income-tax,,
United States of America,USA,Arizona,Arizona,3/11/20,Resource allocation,Activate or establish emergency response,Declare state of emergency,,,,https://azgovernor.gov/governor/news/2020/03/video-governor-ducey-adhs-director-dr-christ-announce-declaration-emergency,,
